comment,sentiment
The service was excellent,Positive
Excellent consultation experience,Positive
Very satisfied with the response,Positive
The issue was resolved quickly,Positive
The support team was very helpful,Positive
Amazing experience,Positive
Great consultation,Positive
I love this service,Positive
Very good service,Positive
The response was fast and accurate,Positive
Highly recommended,Positive
Outstanding support,Positive
Best service ever,Positive
This is the best,Positive
Excellent support from the team,Positive
Very happy with the consultation,Positive
Good experience overall,Positive
Well done,Positive
Fantastic work,Positive
Everything was perfect,Positive
The service is awesome,Positive
Quick response and good support,Positive
Helpful staff,Positive
Very impressed,Positive
Not bad,Positive

Poor service and delayed response,Negative
Very disappointed with the support,Negative
The complaint is not resolved,Negative
Bad experience overall,Negative
Worst experience ever,Negative
Very bad service,Negative
Terrible consultation,Negative
I hate this service,Negative
Poor response from the team,Negative
The service was horrible,Negative
Awful experience,Negative
Not good,Negative
Not satisfied with the service,Negative
Very poor consultation,Negative
Extremely disappointed,Negative
Waste of time,Negative
The response was very slow,Negative
Unacceptable service,Negative
No proper response,Negative
Very frustrating experience,Negative
Completely disappointed,Negative
The service is useless,Negative
The support was careless,Negative
The issue was ignored,Negative
This is the worst,Negative

The consultation was average,Neutral
Need more information,Neutral
The response was acceptable,Neutral
Waiting for further updates,Neutral
It is okay,Neutral
Average service,Neutral
Nothing special,Neutral
The service is normal,Neutral
Can be improved,Neutral
No comments,Neutral
The response was neither good nor bad,Neutral
It was fine,Neutral
The experience was ordinary,Neutral
No opinion,Neutral
The consultation is satisfactory,Neutral
